City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Faya,SA,18.39,42.45,60.8,82,0,4.7,clear sky
211,Leningradskiy,RU,69.38,178.42,22.42,96,100,10.67,light snow
212,Lobito,AO,-12.35,13.55,77.4,83,100,8.01,overcast clouds
213,Pevek,RU,69.7,170.31,12.94,93,0,7.52,clear sky
214,Dwarka,IN,22.24,68.97,75.43,50,0,18.3,clear sky
215,Hailey,US,43.52,-114.32,32.0,73,20,8.05,few clouds
216,Malindi,KE,-3.22,40.12,80.13,81,21,7.92,light rain
217,Asau,RO,46.43,26.4,32.0,89,100,3.38,overcast clouds
218,Eureka,US,40.8,-124.16,61.0,54,39,1.99,scattered clouds
219,Shenjiamen,CN,29.96,122.3,54.7,75,100,21.41,overcast clouds
220,Saint George,US,37.1,-113.58,53.01,23,1,4.7,clear sky
221,Taylorville,US,39.55,-89.29,46.4,81,40,8.05,scattered clouds
222,Carnarvon,AU,-24.87,113.63,64.4,68,0,19.46,clear sky
223,Bogorodskoye,RU,56.55,37.88,30.15,99,98,5.19,light snow
224,Xam Nua,LA,20.42,104.04,55.47,94,79,1.81,broken clouds
225,Hamilton,US,39.18,-84.53,54.0,58,75,5.82,broken clouds
226,Wattegama,LK,6.8,81.48,73.4,100,40,1.12,scattered clouds
227,Tomohon,ID,1.33,124.84,68.83,100,58,1.77,broken clouds
228,Ardakan,IR,32.31,54.02,53.6,54,90,9.17,overcast clouds
229,Nizhniy Tsasuchey,RU,50.52,115.13,7.92,91,0,7.65,clear sky
230,Aykhal,RU,66.0,111.5,-4.88,90,96,5.5,overcast clouds
231,Raudeberg,NO,61.99,5.14,42.01,87,100,9.44,overcast clouds
232,Mangai,CD,-4.05,19.53,70.11,98,41,1.14,scattered clouds
233,Nishihara,JP,26.18,127.76,69.8,73,75,28.86,broken clouds
234,Jumla,NP,29.27,82.18,37.67,41,0,5.95,clear sky
235,Puerto Quijarro,BO,-17.78,-57.77,90.03,41,70,0.92,broken clouds
236,Nueva Granada,CO,9.8,-74.39,80.96,84,99,5.41,light rain
237,Konosha,RU,60.97,40.26,21.85,97,98,8.48,overcast clouds
238,Port Lincoln,AU,-34.73,135.87,67.17,70,100,14.0,overcast clouds
239,Nanortalik,GL,60.14,-45.24,28.27,94,100,12.1,overcast clouds
240,Kardymovo,RU,54.89,32.43,32.77,95,97,6.62,light rain
241,Sao Filipe,CV,14.9,-24.5,75.78,72,29,14.94,scattered clouds
242,Iralaya,HN,15.0,-83.23,80.26,79,0,7.29,clear sky
243,Te Anau,NZ,-45.42,167.72,53.58,48,100,3.4,overcast clouds
244,Tessalit,ML,20.2,1.01,64.65,26,83,4.81,broken clouds
245,Harlingen,US,26.19,-97.7,84.99,62,75,14.99,broken clouds
246,Portland,US,45.52,-122.68,50.0,87,40,0.54,scattered clouds
247,Bangsund,NO,64.4,11.39,35.6,93,40,8.05,scattered clouds
248,Finote Selam,ET,10.7,37.27,60.46,66,36,3.65,scattered clouds
249,Flinders,AU,-34.58,150.86,84.99,56,58,6.76,broken clouds
250,Sur,OM,22.57,59.53,73.31,62,72,10.38,broken clouds
251,Victor Harbor,AU,-35.57,138.62,64.99,88,100,1.99,moderate rain
252,Plettenberg Bay,ZA,-34.05,23.37,60.84,78,23,11.16,few clouds
253,Mabaruma,GY,8.2,-59.78,75.2,97,99,3.11,light rain
