City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Dubbo,AU,84.2,scattered clouds,-32.25,148.62,Comfort Inn Blue Lagoon
345,Alhandra,BR,78.8,few clouds,-7.44,-34.91,Jo's House
356,Chimore,BO,86.16,moderate rain,-16.98,-65.13,Bichito
357,Hobyo,SO,79.41,broken clouds,5.35,48.53,Halane Hotel and Restaurent
361,Sidney,AU,88.0,clear sky,-33.87,151.21,QT Sydney
362,Chalmette,US,80.01,light rain,29.94,-89.96,Marina Motel Chalmette
364,Teahupoo,PF,86.0,broken clouds,-17.83,-149.27,Vanira Lodge
372,Amahai,ID,82.99,broken clouds,-3.33,128.92,HOTEL ISABELA
375,Rawson,AR,76.62,overcast clouds,-43.3,-65.1,Hotel Punta León
377,Tucupita,VE,76.64,light rain,9.06,-62.05,Hotel Tucupita Su​ite C.A.
381,Wukari,NG,79.74,clear sky,7.85,9.78,Elimtop
383,Lazaro Cardenas,MX,82.49,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
388,Progreso,MX,86.0,broken clouds,21.28,-89.67,Playa Linda Hotel
389,Ouesso,CG,75.9,broken clouds,1.61,16.05,Hôtel ABENI
392,Monjaras,HN,93.2,scattered clouds,13.2,-87.37,Hotel Y Restaurante Sur Y Mar
393,Rodrigues Alves,BR,84.2,broken clouds,-7.74,-72.65,Pousada Aconchego
394,San Policarpo,PH,81.03,overcast clouds,12.18,125.51,JM Lodge
400,Puerto Madryn,AR,78.49,overcast clouds,-42.77,-65.04,Hotel Tolosa
401,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Siesta Hotel
405,Bandarbeyla,SO,75.22,few clouds,9.49,50.81,JABIR HOTEL
416,Quatre Cocos,MU,75.2,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
418,Morgan City,US,78.01,broken clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
419,Santa Rosa,PH,78.8,few clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
423,Kendari,ID,76.69,overcast clouds,-3.94,122.5,Hotel Wixel
428,Zamora,EC,75.6,light rain,-4.07,-78.96,Cabañas Ecológicas Copalinga
430,Mataram,ID,78.42,overcast clouds,-8.58,116.12,Hotel Santika Mataram
436,Porto Walter,BR,78.42,light rain,-8.27,-72.74,Hotel Silva
443,Beterou,BJ,84.54,broken clouds,9.2,2.26,Monastère de Kokoubou
445,Nelson Bay,AU,82.0,broken clouds,-32.72,152.15,Mantra Nelson Bay
446,Port Blair,IN,80.53,light rain,11.67,92.75,Fortune Resort Bay Island
447,Vanimo,PG,80.91,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
449,Carutapera,BR,78.75,light rain,-1.2,-46.02,Lidera
461,Mayumba,GA,76.69,overcast clouds,-3.43,10.66,LIKWALE LODGE
464,Eyl,SO,75.27,clear sky,7.98,49.82,Amiin Hotel
470,Itarema,BR,81.19,few clouds,-2.92,-39.92,Windvillage
472,Cravo Norte,CO,79.02,moderate rain,6.3,-70.2,Hotel El Puerto
475,Mount Isa,AU,82.4,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
477,San Patricio,US,84.0,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
479,Santo Andre,BR,75.2,broken clouds,-23.66,-46.54,Mercure Santo Andre Hotel
480,Touros,BR,80.6,few clouds,-5.2,-35.46,INN NEW HORIZON
485,Port Keats,AU,86.25,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
488,Cockburn Town,TC,78.62,clear sky,21.46,-71.14,Osprey Beach Hotel
490,Broken Hill,AU,91.4,clear sky,-31.95,141.43,Daydream Motel & Cottages
491,Oriximina,BR,78.69,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
492,Calamar,CO,77.0,heavy intensity rain,10.25,-74.91,Hostal Katyalex
498,Sao Joao Del Rei,BR,75.2,few clouds,-21.14,-44.26,Solara Hotel
505,Lokoja,NG,81.86,clear sky,7.8,6.74,Hotel Charvid
510,Luwuk,ID,78.94,moderate rain,-0.95,122.79,Hotel Santika Luwuk
519,Luangwa,ZM,75.49,light rain,-15.62,30.42,Gerasimos Safari Lodge
522,Belmonte,BR,77.0,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
530,Waingapu,ID,81.21,overcast clouds,-9.66,120.26,Pondok Wisata Elim
533,Fayaoue,NC,75.18,few clouds,-20.65,166.53,Chez Dydyce Guesthouse
535,Auki,SB,84.18,scattered clouds,-8.77,160.7,Auki Motel
536,San Ignacio,BZ,89.6,few clouds,17.16,-89.07,Rainforest Haven Inn
541,Viedma,AR,93.0,clear sky,-40.81,-63.0,Hotel Cristal
542,Poum,NC,75.69,broken clouds,-20.23,164.02,Gîte kajeon
544,Jardim,BR,78.87,overcast clouds,-21.48,-56.14,Hotel Estância
551,Daru,PG,81.46,overcast clouds,-9.08,143.21,New century hotel
552,Callaway,US,77.0,clear sky,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
555,Bairiki,KI,84.2,broken clouds,1.33,172.98,Tarawa Boutique Hotel
558,Buluang,PH,76.59,overcast clouds,13.31,123.34,Enon Beach Resort
559,San Luis De Palenque,CO,80.01,overcast clouds,5.42,-71.73,Hotel Palenque Los Cubarros
560,Arlit,NE,77.36,clear sky,18.74,7.39,Hôtel Telwa Bungalow
571,Puerto Leguizamo,CO,75.96,moderate rain,-0.19,-74.78,la casona de juancho
573,Lins,BR,84.97,overcast clouds,-21.68,-49.74,Blue Tree Thermas de Lins
576,Noumea,NC,79.0,few clouds,-22.28,166.46,Hôtel Le Lagon
577,Katherine,AU,84.2,scattered clouds,-14.47,132.27,Pine Tree Motel
578,Sola,VU,84.2,scattered clouds,-13.88,167.55,Ulkel Guest House
581,Jizan,SA,80.6,clear sky,17.33,42.67,شهدان. ابوالحجر
587,Pemba,MZ,79.88,clear sky,-12.97,40.52,Guesthouse Samotina
588,Sulangan,PH,81.66,broken clouds,11.14,123.72,Maia's Beach Resort
593,San Luis,AR,85.03,scattered clouds,-33.3,-66.34,Huarpes Hotel
595,Ojinaga,MX,78.8,clear sky,29.57,-104.42,Suites Las Palmas
596,Catuday,PH,78.8,overcast clouds,16.29,119.81,GResort
601,Zacualpan,MX,86.0,scattered clouds,21.25,-105.17,La Colorada B&B
603,Kollam,IN,78.8,mist,8.88,76.6,The Raviz Ashtamudi
608,Inhambane,MZ,76.03,broken clouds,-23.86,35.38,Oceano
609,Kintampo,GH,79.99,broken clouds,8.06,-1.73,Adomaa Memorial Hotel
610,Dedougou,BF,75.81,clear sky,12.47,-3.47,Hôtel Bon Séjour
612,Bosaso,SO,76.89,broken clouds,11.28,49.18,Red Sea Hotel
613,Tual,ID,84.65,overcast clouds,-5.67,132.75,Grand Vilia Hotel
621,Takoradi,GH,78.75,scattered clouds,4.88,-1.76,Raybow International Hotel
622,Sesheke,ZM,77.0,scattered clouds,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
628,San Onofre,CO,81.18,light rain,9.74,-75.53,Hotel Sinai
631,Miramar,US,80.6,clear sky,25.99,-80.23,Stadium Hotel
634,Tanete,ID,77.65,overcast clouds,-3.94,119.78,Wisma Tri Multi
638,Padang,ID,76.66,overcast clouds,-0.95,100.35,Mercure Padang
639,Gigmoto,PH,80.26,light rain,13.78,124.39,Cj's Travellers Inn
641,Port Macquarie,AU,79.0,scattered clouds,-31.43,152.92,Rydges Port Macquarie
642,Bayshore Gardens,US,79.0,broken clouds,27.43,-82.59,Ramada by Wyndham Sarasota
646,Cururupu,BR,76.8,moderate rain,-1.83,-44.87,Pousada Través'cia
647,Yenagoa,NG,75.97,clear sky,4.92,6.26,Amba Hotels Limited
649,Doha,QA,78.8,clear sky,25.29,51.53,Doha Marriott Hotel
650,Vilhena,BR,78.8,scattered clouds,-12.74,-60.15,Hotel Mirage
657,San Marcos De Colon,HN,93.2,scattered clouds,13.43,-86.8,Hotel Colonial
662,Manta,EC,77.0,few clouds,-0.95,-80.73,Balandra Hotel
663,Sarangani,PH,83.84,very heavy rain,5.4,125.46,Ballistic Islet
665,Sinnamary,GF,79.36,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
